id	image_path	family	subject	object	positive_relation	positive_statement	negative_relation	negative_statement	internvl_judgment	internvl_raw	human_falsity
relsim_235f10f57df8d4f6fa5144d82cf791c7	/data/lht/relsim_dataset/relsim_images/235f10f57df8d4f6fa5144d82cf791c7.jpg	spatial	spoon	bowl	in	A spoon is in a bowl.	attached to	A spoon is attached to a bowl.	no	No	无法判断
relsim_2582ed93a9ac13197797bccd97a13d47	/data/lht/relsim_dataset/relsim_images/2582ed93a9ac13197797bccd97a13d47.jpg	spatial	frog	camera	looking at	A frog is looking at a camera.	standing on	A frog is standing on a camera.	no	No	无法判断
relsim_5709fbb701d98d2cec816f5ed1052f87	/data/lht/relsim_dataset/relsim_images/5709fbb701d98d2cec816f5ed1052f87.jpg	spatial	balloon	manhole cover	floating above	A balloon is floating above a manhole cover.	attached to	A balloon is attached to a manhole cover.	no	No	无法判断
relsim_52e1f01a948387b92dd04a03a754cd97	/data/lht/relsim_dataset/relsim_images/52e1f01a948387b92dd04a03a754cd97.jpg	spatial	leaf	branch	hanging from	A leaf is hanging from a branch.	attached to	A leaf is attached to a branch.	no	No	无法判断
relsim_3b19e959719e8c36e0ae5531fd799c7f	/data/lht/relsim_dataset/relsim_images/3b19e959719e8c36e0ae5531fd799c7f.jpg	spatial	lamp	platform	rests on	A lamp is rests on a platform.	is positioned above	A lamp is is positioned above a platform.	no	No	不成立
relsim_1e7ea4dd8fe6046839cb231812ed18a9	/data/lht/relsim_dataset/relsim_images/1e7ea4dd8fe6046839cb231812ed18a9.jpg	spatial	butterfly	eye	near	A butterfly is near an eye.	over	A butterfly is over an eye.	no	No	无法判断
relsim_996aa25651c2f225687b4de659253843	/data/lht/relsim_dataset/relsim_images/996aa25651c2f225687b4de659253843.jpg	spatial	girl	scale	standing on	A girl is standing on a scale.	jumping on	A girl is jumping on a scale.	no	No	不成立
relsim_1e9573084d0855a0a649f28a6deafe82	/data/lht/relsim_dataset/relsim_images/1e9573084d0855a0a649f28a6deafe82.jpg	spatial	butterfly	caterpillar	hovering over	A butterfly is hovering over a caterpillar.	flying towards	A butterfly is flying towards a caterpillar.	no	No	成立
relsim_238fc6bc031b024cc129cf5f27aba025	/data/lht/relsim_dataset/relsim_images/238fc6bc031b024cc129cf5f27aba025.jpg	spatial	cat	chair	sitting on	A cat is sitting on a chair.	lying on	A cat is lying on a chair.	no	No	不成立
relsim_572af7691655e872b241bda6260d7420	/data/lht/relsim_dataset/relsim_images/572af7691655e872b241bda6260d7420.jpg	spatial	hat	rock	on	A hat is on a rock.	attached to	A hat is attached to a rock.	no	No	成立
relsim_d525a14d973e605c8ea3cbefb975ba19	/data/lht/relsim_dataset/relsim_images/d525a14d973e605c8ea3cbefb975ba19.jpg	spatial	person	snow	lying on	A person is lying on a snow.	standing on	A person is standing on a snow.	no	No	不成立
relsim_3d91182d9cccfb3b814d727e09e97bce	/data/lht/relsim_dataset/relsim_images/3d91182d9cccfb3b814d727e09e97bce.jpg	spatial	airplanes	sky	flying in formation	An airplanes is flying in formation a sky.	casting shadows	An airplanes is casting shadows a sky.	no	No	不成立
relsim_a12e3dff568481c1960a4e067978f11b	/data/lht/relsim_dataset/relsim_images/a12e3dff568481c1960a4e067978f11b.jpg	spatial	soccer ball	building	hanging from	A soccer ball is hanging from a building.	attached to	A soccer ball is attached to a building.	no	No	无法判断
relsim_da9e847a789a7e6aaa931b653620813f	/data/lht/relsim_dataset/relsim_images/da9e847a789a7e6aaa931b653620813f.jpg	spatial	woman	man	sitting beside	A woman is sitting beside a man.	standing behind	A woman is standing behind a man.	no	No	不成立
relsim_10c37cd6ae26e864881d63a315525e5a	/data/lht/relsim_dataset/relsim_images/10c37cd6ae26e864881d63a315525e5a.jpg	spatial	pyramid	water	reflects in	A pyramid is reflects in a water.	standing on	A pyramid is standing on a water.	no	No	无法判断
relsim_4a5ee639616a6f0e5b5374d299e179b1	/data/lht/relsim_dataset/relsim_images/4a5ee639616a6f0e5b5374d299e179b1.jpg	spatial	person	toilet	sitting on	A person is sitting on a toilet.	standing beside	A person is standing beside a toilet.	no	No	无法判断
relsim_7265a56131e7dfed186e498f351d4a77	/data/lht/relsim_dataset/relsim_images/7265a56131e7dfed186e498f351d4a77.jpg	spatial	plant	road	growing in	A plant is growing in a road.	painted on	A plant is painted on a road.	no	No	不成立
relsim_4ae398af557e06b20a3b751d96400b9f	/data/lht/relsim_dataset/relsim_images/4ae398af557e06b20a3b751d96400b9f.jpg	spatial	whale	dolphin	swimming beside	A whale is swimming beside a dolphin.	chasing	A whale is chasing a dolphin.	no	No	不成立
relsim_72b5e4f40cfc217a3074992f84158d20	/data/lht/relsim_dataset/relsim_images/72b5e4f40cfc217a3074992f84158d20.jpg	spatial	mouse	microphone	beside	A mouse is beside a microphone.	under	A mouse is under a microphone.	no	No	不成立
relsim_b93d0903ad1ef178d1aa2c63c3b43886	/data/lht/relsim_dataset/relsim_images/b93d0903ad1ef178d1aa2c63c3b43886.jpg	spatial	dog painting	wall	hanging on	A dog painting is hanging on a wall.	leaning on	A dog painting is leaning on a wall.	no	No	无法判断
relsim_a633cd285a258cba7525940c66128faa	/data/lht/relsim_dataset/relsim_images/a633cd285a258cba7525940c66128faa.jpg	spatial	raccoon	pencil	sitting next to	A raccoon is sitting next to a pencil.	looking at	A raccoon is looking at a pencil.	no	No	不成立
relsim_2ed291370617ef9fa88e12902fe2b6fd	/data/lht/relsim_dataset/relsim_images/2ed291370617ef9fa88e12902fe2b6fd.jpg	spatial	dancer	boxes	jumping over	A dancer is jumping over a boxes.	looking at	A dancer is looking at a boxes.	no	No	不成立
relsim_4bd7c5d468db8bc487fb6b7dfc070743	/data/lht/relsim_dataset/relsim_images/4bd7c5d468db8bc487fb6b7dfc070743.jpg	spatial	shark	divers	swimming near	A shark is swimming near a divers.	following	A shark is following a divers.	no	No	成立
relsim_ab260dd2e024f544c890fd47ab17ef77	/data/lht/relsim_dataset/relsim_images/ab260dd2e024f544c890fd47ab17ef77.jpg	spatial	flamingo	seat	standing on	A flamingo is standing on a seat.	leaning on	A flamingo is leaning on a seat.	no	No	成立
relsim_232b5025abcbf675863658b7e6a1814e	/data/lht/relsim_dataset/relsim_images/232b5025abcbf675863658b7e6a1814e.jpg	contact	man	wall	jumping from	A man is jumping from a wall.	leaning against	A man is leaning against a wall.	no	No	不成立
relsim_66a0e3bd27ed1d9453c3be484e61d378	/data/lht/relsim_dataset/relsim_images/66a0e3bd27ed1d9453c3be484e61d378.jpg	contact	skull mask	face	covering	A skull mask is covering a face.	protecting	A skull mask is protecting a face.	no	No	成立
relsim_c52ac20711c3cfe9a256d819c40165a0	/data/lht/relsim_dataset/relsim_images/c52ac20711c3cfe9a256d819c40165a0.jpg	contact	bride	groom	kissing	A bride is kissing a groom.	standing beside	A bride is standing beside a groom.	no	No	成立
relsim_7d68a9a8556ed982fcee02efece69509	/data/lht/relsim_dataset/relsim_images/7d68a9a8556ed982fcee02efece69509.jpg	contact	person on the left	person on the right	holding hands with	A person on the left is holding hands with a person on the right.	looking at	A person on the left is looking at a person on the right.	no	No	成立
relsim_89de750a9b1f90ecf24473ed35df5e9c	/data/lht/relsim_dataset/relsim_images/89de750a9b1f90ecf24473ed35df5e9c.jpg	contact	elephant	bicycle	riding	An elephant is riding a bicycle.	pushing	An elephant is pushing a bicycle.	no	No	不成立
relsim_418011ebe7a558f6fcd63303ae5831c5	/data/lht/relsim_dataset/relsim_images/418011ebe7a558f6fcd63303ae5831c5.jpg	contact	puzzle piece	face	covering	A puzzle piece is covering a face.	protecting	A puzzle piece is protecting a face.	no	No	无法判断
relsim_964d7a0ea874d26e6111144ae8883350	/data/lht/relsim_dataset/relsim_images/964d7a0ea874d26e6111144ae8883350.jpg	contact	hand	face	touching	A hand is touching a face.	covering	A hand is covering a face.	no	No	不成立
relsim_07107ecec2750b710c9f643ee6d9c74e	/data/lht/relsim_dataset/relsim_images/07107ecec2750b710c9f643ee6d9c74e.jpg	contact	dinosaur	top hat	wearing	A dinosaur is wearing a top hat.	carrying	A dinosaur is carrying a top hat.	no	No	成立
relsim_7796406410bf7615a93bfa8759521f17	/data/lht/relsim_dataset/relsim_images/7796406410bf7615a93bfa8759521f17.jpg	contact	person	dolphin	touching	A person is touching a dolphin.	guiding	A person is guiding a dolphin.	no	No	不成立
relsim_027c200d730e2f68ca94605cc5bfdc87	/data/lht/relsim_dataset/relsim_images/027c200d730e2f68ca94605cc5bfdc87.jpg	contact	skateboarder	trick	performing	A skateboarder is performing a trick.	landing on	A skateboarder is landing on a trick.	no	No	无法判断
relsim_d73cbb02a3ebce3b068f2a89e12a1bf4	/data/lht/relsim_dataset/relsim_images/d73cbb02a3ebce3b068f2a89e12a1bf4.jpg	contact	astronaut	checkerboard	jumping from	An astronaut is jumping from a checkerboard.	standing on	An astronaut is standing on a checkerboard.	no	No	不成立
relsim_10f4c5cb50e2d6621daac935da080cc4	/data/lht/relsim_dataset/relsim_images/10f4c5cb50e2d6621daac935da080cc4.jpg	contact	monkey	lion cub	carrying	A monkey is carrying a lion cub.	looking at	A monkey is looking at a lion cub.	no	No	无法判断
relsim_927fed25172ee4ad7e2cf4eb32d50291	/data/lht/relsim_dataset/relsim_images/927fed25172ee4ad7e2cf4eb32d50291.jpg	contact	silhouette	apple	reaching for	A silhouette is reaching for an apple.	looking at	A silhouette is looking at an apple.	no	No	不成立
relsim_8444898f6be40bd56587877f64eb2eb1	/data/lht/relsim_dataset/relsim_images/8444898f6be40bd56587877f64eb2eb1.jpg	contact	tomato	vine	attached to	A tomato is attached to a vine.	resting on	A tomato is resting on a vine.	no	No	无法判断
relsim_434c9ab92783cd1c5db9540a014e15f3	/data/lht/relsim_dataset/relsim_images/434c9ab92783cd1c5db9540a014e15f3.jpg	contact	cat	glasses	wearing	A cat is wearing a glasses.	holding	A cat is holding a glasses.	no	No	不成立
relsim_0abfb24c9f4e3f3d900864730d02b0d7	/data/lht/relsim_dataset/relsim_images/0abfb24c9f4e3f3d900864730d02b0d7.jpg	contact	person	grass	performing handstand	A person is performing handstand a grass.	lying on	A person is lying on a grass.	no	No	不成立
relsim_9fc81f9c5c6c98dcb7559510f760ec1b	/data/lht/relsim_dataset/relsim_images/9fc81f9c5c6c98dcb7559510f760ec1b.jpg	contact	man	shield	holding	A man is holding a shield.	looking at	A man is looking at a shield.	no	No	成立
relsim_b923a3a11df8a72337d90c76d691f7d2	/data/lht/relsim_dataset/relsim_images/b923a3a11df8a72337d90c76d691f7d2.jpg	contact	person	bridge	jumping from	A person is jumping from a bridge.	sitting on	A person is sitting on a bridge.	no	No	不成立
relsim_85a6773b5f1576dc6a7a19b2f526327b	/data/lht/relsim_dataset/relsim_images/85a6773b5f1576dc6a7a19b2f526327b.jpg	contact	leaves	grass	covering	A leaves is covering a grass.	on top of	A leaves is on top of a grass.	no	No	无法判断
relsim_a1a5b3b59a92b79a8c1b5aa3a44f872f	/data/lht/relsim_dataset/relsim_images/a1a5b3b59a92b79a8c1b5aa3a44f872f.jpg	contact	man	woman	catching	A man is catching a woman.	supporting	A man is supporting a woman.	no	No	无法判断
relsim_5b1b23454b0f1a9a67cdd61b289a4bb5	/data/lht/relsim_dataset/relsim_images/5b1b23454b0f1a9a67cdd61b289a4bb5.jpg	contact	antennae	head	attached to	An antennae is attached to a head.	resting on	An antennae is resting on a head.	no	No	不成立
relsim_30e9d04f7cd3873b8dea177233237480	/data/lht/relsim_dataset/relsim_images/30e9d04f7cd3873b8dea177233237480.jpg	contact	wave	sand	crashing onto	A wave is crashing onto a sand.	covering	A wave is covering a sand.	no	No	成立
relsim_24aa2633236bf35781ccf524bd3046fe	/data/lht/relsim_dataset/relsim_images/24aa2633236bf35781ccf524bd3046fe.jpg	contact	dog	hat	wearing	A dog is wearing a hat.	sniffing	A dog is sniffing a hat.	no	No	不成立
relsim_7d375a0a688f9cef71da355b0655fe75	/data/lht/relsim_dataset/relsim_images/7d375a0a688f9cef71da355b0655fe75.jpg	contact	whale	raft	carrying	A whale is carrying a raft.	guiding	A whale is guiding a raft.	no	No	无法判断
relsim_901f92f6f001b3483cc15b780a79ed7d	/data/lht/relsim_dataset/relsim_images/901f92f6f001b3483cc15b780a79ed7d.jpg	contact	bee	flower	flying towards	A bee is flying towards a flower.	landing on	A bee is landing on a flower.	no	No	不成立
relsim_572358de395451f3494cfd691e9e336b	/data/lht/relsim_dataset/relsim_images/572358de395451f3494cfd691e9e336b.jpg	contact	hand	ball	holding	A hand is holding a ball.	pushing	A hand is pushing a ball.	no	No	无法判断
relsim_3573375aeba82ed79acdc2e7154103ef	/data/lht/relsim_dataset/relsim_images/3573375aeba82ed79acdc2e7154103ef.jpg	contact	soccer player	soccer ball	kicking	A soccer player is kicking a soccer ball.	chasing	A soccer player is chasing a soccer ball.	no	No	成立
relsim_0fca6bd8942dbed2432f3b396f5e4fa0	/data/lht/relsim_dataset/relsim_images/0fca6bd8942dbed2432f3b396f5e4fa0.jpg	contact	dog	hat	wearing	A dog is wearing a hat.	standing beside	A dog is standing beside a hat.	no	No	不成立
relsim_0e9e3706918b3a764c7a4918b1ce368a	/data/lht/relsim_dataset/relsim_images/0e9e3706918b3a764c7a4918b1ce368a.jpg	contact	buildings	sky	surrounding	A buildings is surrounding a sky.	overlooking	A buildings is overlooking a sky.	no	No	无法判断
relsim_741171c6c66e4ddc8fe86722bd3dcc63	/data/lht/relsim_dataset/relsim_images/741171c6c66e4ddc8fe86722bd3dcc63.jpg	contact	person	doorway	running towards	A person is running towards a doorway.	standing in	A person is standing in a doorway.	no	No	不成立
relsim_8c8a49c5290feb6c2c6bb0208e30cc05	/data/lht/relsim_dataset/relsim_images/8c8a49c5290feb6c2c6bb0208e30cc05.jpg	contact	moon	core	supporting	A moon is supporting a core.	enclosing	A moon is enclosing a core.	no	No	无法判断
relsim_0d0f0058cd23b147c85ecf6a13237c7b	/data/lht/relsim_dataset/relsim_images/0d0f0058cd23b147c85ecf6a13237c7b.jpg	contact	matchstick	candle	igniting	A matchstick is igniting a candle.	touching	A matchstick is touching a candle.	no	No	不成立
relsim_b8d971f2fc9a5b85d88e82934ec7b909	/data/lht/relsim_dataset/relsim_images/b8d971f2fc9a5b85d88e82934ec7b909.jpg	contact	cat	tie	wearing	A cat is wearing a tie.	standing on	A cat is standing on a tie.	no	No	不成立
relsim_bcb45359357e0a59cf7c626273639d9a	/data/lht/relsim_dataset/relsim_images/bcb45359357e0a59cf7c626273639d9a.jpg	other	hat	figures	supports	A hat is supports a figures.	covering	A hat is covering a figures.	no	No	无法判断
relsim_4a91850c30facdb570509e54a20ae7d6	/data/lht/relsim_dataset/relsim_images/4a91850c30facdb570509e54a20ae7d6.jpg	other	street lamp	house	illuminates	A street lamp is illuminates a house.	shadowing	A street lamp is shadowing a house.	no	No	不成立
relsim_410999d73a2ff1bd3c55828660b10e4e	/data/lht/relsim_dataset/relsim_images/410999d73a2ff1bd3c55828660b10e4e.jpg	other	hand	gloves	supports	A hand is supports a gloves.	wearing	A hand is wearing a gloves.	no	No	成立
relsim_8b962e14ff1e68c3da3224c7e5abb26d	/data/lht/relsim_dataset/relsim_images/8b962e14ff1e68c3da3224c7e5abb26d.jpg	other	flower	drawing	held by	A flower is held by a drawing.	attached to	A flower is attached to a drawing.	no	No	成立
relsim_035f6e96c458f9bc269c6fbe4b6a3991	/data/lht/relsim_dataset/relsim_images/035f6e96c458f9bc269c6fbe4b6a3991.jpg	other	penguin plush	hand	held by	A penguin plush is held by a hand.	leaning on	A penguin plush is leaning on a hand.	no	No	无法判断
relsim_391471f2f8639b049e0f88770fcc1880	/data/lht/relsim_dataset/relsim_images/391471f2f8639b049e0f88770fcc1880.jpg	other	globe	lamp	supports	A globe is supports a lamp.	hanging from	A globe is hanging from a lamp.	no	No	成立
relsim_0a92ce642952c27a5ed32f66836ba50f	/data/lht/relsim_dataset/relsim_images/0a92ce642952c27a5ed32f66836ba50f.jpg	other	tree	musical note	forms	A tree is forms a musical note.	surrounding	A tree is surrounding a musical note.	no	No	无法判断
relsim_cee29e2437d8df0a2d131494f47ba87e	/data/lht/relsim_dataset/relsim_images/cee29e2437d8df0a2d131494f47ba87e.jpg	other	cup	coffee	contains	A cup is contains a coffee.	holding	A cup is holding a coffee.	no	No	成立
relsim_6b7924be0d83f1cc5a1d9247c982f504	/data/lht/relsim_dataset/relsim_images/6b7924be0d83f1cc5a1d9247c982f504.jpg	other	scale	plate	supports	A scale is supports a plate.	balancing	A scale is balancing a plate.	no	No	成立
relsim_5e8a3e20a195dce05873db5f611de361	/data/lht/relsim_dataset/relsim_images/5e8a3e20a195dce05873db5f611de361.jpg	other	bamboo stand	bamboo	supports	A bamboo stand is supports a bamboo.	leaning on	A bamboo stand is leaning on a bamboo.	no	No	无法判断
relsim_4a01cc66686597f6ce8b015cf5314716	/data/lht/relsim_dataset/relsim_images/4a01cc66686597f6ce8b015cf5314716.jpg	other	silhouette	house	frames	A silhouette is frames a house.	hiding behind	A silhouette is hiding behind a house.	no	No	无法判断
relsim_13efc72a56b7f6ec821c681d1bb300a4	/data/lht/relsim_dataset/relsim_images/13efc72a56b7f6ec821c681d1bb300a4.jpg	other	chandelier	flowers	supports	A chandelier is supports a flowers.	hanging above	A chandelier is hanging above a flowers.	no	No	无法判断
relsim_7e9129e00c75d7140651dcc2bf5d5765	/data/lht/relsim_dataset/relsim_images/7e9129e00c75d7140651dcc2bf5d5765.jpg	other	buttons	shape	form	A buttons is form a shape.	overlapping with	A buttons is overlapping with a shape.	no	No	成立
relsim_3bb68eef474aa54791c2cb91645c84ab	/data/lht/relsim_dataset/relsim_images/3bb68eef474aa54791c2cb91645c84ab.jpg	other	red paint	yellow paint	flows into	A red paint is flows into a yellow paint.	underneath	A red paint is underneath a yellow paint.	no	No	无法判断
relsim_dedba8e97ad02234ea4dc85d7bd3a4c0	/data/lht/relsim_dataset/relsim_images/dedba8e97ad02234ea4dc85d7bd3a4c0.jpg	other	leaf	deer	frames	A leaf is frames a deer.	hiding from	A leaf is hiding from a deer.	no	No	无法判断
relsim_2b89045377bb124f1f03fd154bc82009	/data/lht/relsim_dataset/relsim_images/2b89045377bb124f1f03fd154bc82009.jpg	other	road	tree	leads to	A road is leads to a tree.	surrounded by	A road is surrounded by a tree.	no	No	不成立
relsim_9d393d6fb5166a409533aa2fb74ce69f	/data/lht/relsim_dataset/relsim_images/9d393d6fb5166a409533aa2fb74ce69f.jpg	other	arrow	circle	points to	An arrow is points to a circle.	surrounding	An arrow is surrounding a circle.	no	No	不成立
relsim_86eeb5f2ad769bdc65209bb25491d804	/data/lht/relsim_dataset/relsim_images/86eeb5f2ad769bdc65209bb25491d804.jpg	other	stack of coins	plant	supports	A stack of coins is supports a plant.	protecting	A stack of coins is protecting a plant.	no	No	不成立
relsim_8ef781e8723bed353b3fae222c1f5d69	/data/lht/relsim_dataset/relsim_images/8ef781e8723bed353b3fae222c1f5d69.jpg	other	circle	center	surrounds	A circle is surrounds a center.	attached to	A circle is attached to a center.	no	No	不成立
relsim_a789db54414b1daca78b9977d8c4eb54	/data/lht/relsim_dataset/relsim_images/a789db54414b1daca78b9977d8c4eb54.jpg	other	pot	plants	contains	A pot is contains a plants.	hiding	A pot is hiding a plants.	no	No	不成立
relsim_6ee3011aa21a11732035cec276cdf7dd	/data/lht/relsim_dataset/relsim_images/6ee3011aa21a11732035cec276cdf7dd.jpg	other	staircase	door	leads to	A staircase is leads to a door.	attached to	A staircase is attached to a door.	no	No	不成立
relsim_14122de696c9fc0c9c54369b5d9a97e6	/data/lht/relsim_dataset/relsim_images/14122de696c9fc0c9c54369b5d9a97e6.jpg	other	circle	center	surrounds	A circle is surrounds a center.	attached to	A circle is attached to a center.	no	No	不成立
relsim_2021b2fb7dd62e66d46c6c5bd19c303b	/data/lht/relsim_dataset/relsim_images/2021b2fb7dd62e66d46c6c5bd19c303b.jpg	other	spray can	hand	held by	A spray can is held by a hand.	dropped by	A spray can is dropped by a hand.	no	No	不成立
relsim_86247519ed8687c44ca83896a1337683	/data/lht/relsim_dataset/relsim_images/86247519ed8687c44ca83896a1337683.jpg	other	dress form	dress	supports	A dress form is supports a dress.	holding	A dress form is holding a dress.	no	No	无法判断
relsim_12d1cf0c13cddb97d3763587a208c4a3	/data/lht/relsim_dataset/relsim_images/12d1cf0c13cddb97d3763587a208c4a3.jpg	other	yellow circle	person	contains	A yellow circle is contains a person.	surrounding	A yellow circle is surrounding a person.	no	No	成立
relsim_48d2046c20e36f05bd08aefa2821e984	/data/lht/relsim_dataset/relsim_images/48d2046c20e36f05bd08aefa2821e984.jpg	other	road	person	leads to	A road is leads to a person.	passing by	A road is passing by a person.	no	No	不成立
relsim_376da0a88c533cd4b39b06e52da1f612	/data/lht/relsim_dataset/relsim_images/376da0a88c533cd4b39b06e52da1f612.jpg	other	head	stripes	contains	A head is contains a stripes.	surrounded by	A head is surrounded by a stripes.	no	No	不成立
relsim_531bc3494eb3d6b2b8767a80e7d8855d	/data/lht/relsim_dataset/relsim_images/531bc3494eb3d6b2b8767a80e7d8855d.jpg	other	glass	grapes	contains	A glass is contains a grapes.	resting beside	A glass is resting beside a grapes.	no	No	不成立
relsim_d40e12dba03718f292e11b6a4eb54c13	/data/lht/relsim_dataset/relsim_images/d40e12dba03718f292e11b6a4eb54c13.jpg	other	arrow	shipwreck	points to	An arrow is points to a shipwreck.	above	An arrow is above a shipwreck.	no	No	不成立
relsim_41c1ee90f4960e9311a16615bf1960e4	/data/lht/relsim_dataset/relsim_images/41c1ee90f4960e9311a16615bf1960e4.jpg	other	building	skyscraper	frames	A building is frames a skyscraper.	blocking	A building is blocking a skyscraper.	no	No	无法判断
relsim_9aee424553c52f325c174520efb1b8b4	/data/lht/relsim_dataset/relsim_images/9aee424553c52f325c174520efb1b8b4.jpg	other	frame	forest	encloses	A frame is encloses a forest.	attached to	A frame is attached to a forest.	no	No	无法判断
relsim_7e2b5bbff08449292db82663b668a19e	/data/lht/relsim_dataset/relsim_images/7e2b5bbff08449292db82663b668a19e.jpg	other	bubble	building	contains	A bubble is contains a building.	surrounding	A bubble is surrounding a building.	no	No	成立
relsim_9a1e9d3b0d755f9b723a78e8359334cf	/data/lht/relsim_dataset/relsim_images/9a1e9d3b0d755f9b723a78e8359334cf.jpg	other	tree	water	reflects	A tree is reflects a water.	standing over	A tree is standing over a water.	no	No	不成立
