id	image_path	family	subject	positive_relation	object	positive_statement	negative_relation	negative_statement	old_negative_statement	candidate_rank	pos_true	neg_natural	neg_plausible	neg_visually_false	needs_image	is_synonym	role_reversal	ambiguous	overall_clean	notes
relsim_2582ed93a9ac13197797bccd97a13d47	/data/lht/relsim_dataset/relsim_images/2582ed93a9ac13197797bccd97a13d47.jpg	spatial	frog	looking at	camera	A frog is looking at a camera.	standing on	A frog is standing on a camera.	A frog is playing with a camera.	1										
relsim_56f13561a0359fd257ae243c12e38016	/data/lht/relsim_dataset/relsim_images/56f13561a0359fd257ae243c12e38016.jpg	spatial	person	standing on	ground	A person is standing on a ground.	jumping from	A person is jumping from a ground.	A person is held by a ground.	0										
relsim_a35873286609dece6162559602af0dda	/data/lht/relsim_dataset/relsim_images/a35873286609dece6162559602af0dda.jpg	spatial	man	standing beside	painting	A man is standing beside a painting.	in front of	A man is in front of a painting.	A man is reaching out a painting.	1										
relsim_7370c4c9d66569d0870a8bf2a7ad6b8c	/data/lht/relsim_dataset/relsim_images/7370c4c9d66569d0870a8bf2a7ad6b8c.jpg	spatial	dog	walking beside	person	A dog is walking beside a person.	leading	A dog is leading a person.	A dog is crosses a person.	0										
relsim_86c8815b5c7f25df671e742f8039809b	/data/lht/relsim_dataset/relsim_images/86c8815b5c7f25df671e742f8039809b.jpg	spatial	spider	resting on	deck	A spider is resting on a deck.	climbing on	A spider is climbing on a deck.	A spider is surrounded by a deck.	0										
relsim_847a7a0b542a4e541c88beabbceef21a	/data/lht/relsim_dataset/relsim_images/847a7a0b542a4e541c88beabbceef21a.jpg	spatial	puppies	sitting on	dresser	A puppies is sitting on a dresser.	climbing on	A puppies is climbing on a dresser.	A puppies is held by a dresser.	0										
relsim_7dcbc6ceb5b04dc23c60d3b4f7abba4b	/data/lht/relsim_dataset/relsim_images/7dcbc6ceb5b04dc23c60d3b4f7abba4b.jpg	spatial	person	sitting on	suitcase	A person is sitting on a suitcase.	leaning against	A person is leaning against a suitcase.	A person is piercing a suitcase.	1										
relsim_24082ebe2c8d09506d58129c1d698fed	/data/lht/relsim_dataset/relsim_images/24082ebe2c8d09506d58129c1d698fed.jpg	spatial	cat	sitting on	sandals	A cat is sitting on a sandals.	lying on	A cat is lying on a sandals.	A cat is running behind a sandals.	0										
relsim_1f38b4a6dd43496d421f198c745b0422	/data/lht/relsim_dataset/relsim_images/1f38b4a6dd43496d421f198c745b0422.jpg	spatial	woman	standing on	railroad track	A woman is standing on a railroad track.	jumping over	A woman is jumping over a railroad track.	A woman is carrying a railroad track.	0										
relsim_bf20a2f94d1eb598bcecea02c71e05a5	/data/lht/relsim_dataset/relsim_images/bf20a2f94d1eb598bcecea02c71e05a5.jpg	spatial	hand	beside	paw print	A hand is beside a paw print.	overlapping	A hand is overlapping a paw print.	A hand is part of a paw print.	0										
relsim_33143710b52936bad137255030a03f6a	/data/lht/relsim_dataset/relsim_images/33143710b52936bad137255030a03f6a.jpg	spatial	shark	swimming near	divers	A shark is swimming near a divers.	following	A shark is following a divers.	A shark is surrounds a divers.	0										
relsim_3d91182d9cccfb3b814d727e09e97bce	/data/lht/relsim_dataset/relsim_images/3d91182d9cccfb3b814d727e09e97bce.jpg	spatial	airplanes	flying in formation	sky	An airplanes is flying in formation a sky.	casting shadows	An airplanes is casting shadows a sky.	An airplanes is collides with a sky.	1										
relsim_11f10dd8b74490fdcfa94903fe9f1591	/data/lht/relsim_dataset/relsim_images/11f10dd8b74490fdcfa94903fe9f1591.jpg	spatial	spacesuit	jumping over	net	A spacesuit is jumping over a net.	flying towards	A spacesuit is flying towards a net.	A spacesuit is standing inside a net.	2										
relsim_3e7ce0b54b915137ce46e956d563d2d0	/data/lht/relsim_dataset/relsim_images/3e7ce0b54b915137ce46e956d563d2d0.jpg	spatial	squirrel	inside	bubble	A squirrel is inside a bubble.	carrying	A squirrel is carrying a bubble.	A squirrel is carved into a bubble.	1										
relsim_0779d2713263415a199df926c7a6552d	/data/lht/relsim_dataset/relsim_images/0779d2713263415a199df926c7a6552d.jpg	spatial	dog	standing next to	car	A dog is standing next to a car.	playing with	A dog is playing with a car.	A dog is breaking through a car.	0										
relsim_c949ce3f94a460aee01ae046a38fc4ec	/data/lht/relsim_dataset/relsim_images/c949ce3f94a460aee01ae046a38fc4ec.jpg	spatial	bear	sitting in	truck	A bear is sitting in a truck.	leaning on	A bear is leaning on a truck.	A bear is hanging on a truck.	2										
relsim_4ae398af557e06b20a3b751d96400b9f	/data/lht/relsim_dataset/relsim_images/4ae398af557e06b20a3b751d96400b9f.jpg	spatial	whale	swimming beside	dolphin	A whale is swimming beside a dolphin.	chasing	A whale is chasing a dolphin.	A whale is landing on a dolphin.	0										
relsim_205097830350f7c67e635453d267825b	/data/lht/relsim_dataset/relsim_images/205097830350f7c67e635453d267825b.jpg	spatial	bird	perches on	branch	A bird is perches on a branch.	flying over	A bird is flying over a branch.	A bird is wrapped around a branch.	1										
relsim_4f722fbf96cb7432cbc08994b02c3891	/data/lht/relsim_dataset/relsim_images/4f722fbf96cb7432cbc08994b02c3891.jpg	spatial	bicycle	parked on	grass	A bicycle is parked on a grass.	leaning against	A bicycle is leaning against a grass.	A bicycle is jumping on a grass.	0										
relsim_bbb101192609c600cc8114f0fb99c6fc	/data/lht/relsim_dataset/relsim_images/bbb101192609c600cc8114f0fb99c6fc.jpg	spatial	cat	sitting under	lamp	A cat is sitting under a lamp.	in front of	A cat is in front of a lamp.	A cat is picking a lamp.	2										
relsim_d525a14d973e605c8ea3cbefb975ba19	/data/lht/relsim_dataset/relsim_images/d525a14d973e605c8ea3cbefb975ba19.jpg	spatial	person	lying on	snow	A person is lying on a snow.	standing on	A person is standing on a snow.	A person is over a snow.	0										
relsim_65fee9b052605c8ada437e8d24e3fe8a	/data/lht/relsim_dataset/relsim_images/65fee9b052605c8ada437e8d24e3fe8a.jpg	spatial	rock	resting on	ground	A rock is resting on a ground.	leaning against	A rock is leaning against a ground.	A rock is crouching near a ground.	0										
relsim_a12e3dff568481c1960a4e067978f11b	/data/lht/relsim_dataset/relsim_images/a12e3dff568481c1960a4e067978f11b.jpg	spatial	soccer ball	hanging from	building	A soccer ball is hanging from a building.	attached to	A soccer ball is attached to a building.	A soccer ball is handing a building.	0										
relsim_b93d0903ad1ef178d1aa2c63c3b43886	/data/lht/relsim_dataset/relsim_images/b93d0903ad1ef178d1aa2c63c3b43886.jpg	spatial	dog painting	hanging on	wall	A dog painting is hanging on a wall.	leaning on	A dog painting is leaning on a wall.	A dog painting is radiate from a wall.	0										
relsim_bd1118c3f63a19d086e768b585f2c0c3	/data/lht/relsim_dataset/relsim_images/bd1118c3f63a19d086e768b585f2c0c3.jpg	spatial	kitten	standing next to	ball of yarn	A kitten is standing next to a ball of yarn.	chasing	A kitten is chasing a ball of yarn.	A kitten is resting on a ball of yarn.	2										
relsim_8fd7cf878f9e103994224f47736c2f39	/data/lht/relsim_dataset/relsim_images/8fd7cf878f9e103994224f47736c2f39.jpg	spatial	hat	resting on	book	A hat is resting on a book.	covering	A hat is covering a book.	A hat is radiates from a book.	0										
relsim_8f4b849cd62cc921f123ebe932763124	/data/lht/relsim_dataset/relsim_images/8f4b849cd62cc921f123ebe932763124.jpg	spatial	person	sitting on	platform	A person is sitting on a platform.	lying on	A person is lying on a platform.	A person is projecting onto a platform.	2										
relsim_572af7691655e872b241bda6260d7420	/data/lht/relsim_dataset/relsim_images/572af7691655e872b241bda6260d7420.jpg	spatial	hat	on	rock	A hat is on a rock.	attached to	A hat is attached to a rock.	A hat is staring at a rock.	1										
relsim_535184696bf7b2c8de03de07dc8973b2	/data/lht/relsim_dataset/relsim_images/535184696bf7b2c8de03de07dc8973b2.jpg	spatial	colorful panels	hanging from	walls	A colorful panels is hanging from a walls.	attached to	A colorful panels is attached to a walls.	A colorful panels is driving a walls.	1										
relsim_8e5e2a1dfaef2f53a4f8fc26fb4d875a	/data/lht/relsim_dataset/relsim_images/8e5e2a1dfaef2f53a4f8fc26fb4d875a.jpg	spatial	man	standing in front of	market stall	A man is standing in front of a market stall.	looking at	A man is looking at a market stall.	A man is crouching near a market stall.	0										
relsim_4d05ffd17209cffacaa41526ddd412c6	/data/lht/relsim_dataset/relsim_images/4d05ffd17209cffacaa41526ddd412c6.jpg	spatial	squirrel	sitting on	airplane	A squirrel is sitting on an airplane.	leaning against	A squirrel is leaning against an airplane.	A squirrel is silhouetted against an airplane.	1										
relsim_08a1fc9303c91afe9537f9bac69b8e69	/data/lht/relsim_dataset/relsim_images/08a1fc9303c91afe9537f9bac69b8e69.jpg	spatial	dog	lying on	chair	A dog is lying on a chair.	jumping from	A dog is jumping from a chair.	A dog is reaching into a chair.	1										
relsim_b1146567b4ad6df2a3dd2a39823192e3	/data/lht/relsim_dataset/relsim_images/b1146567b4ad6df2a3dd2a39823192e3.jpg	spatial	person	sitting on	throne	A person is sitting on a throne.	leaning on	A person is leaning on a throne.	A person is following a throne.	0										
relsim_bf0fe5a6e25faa6d664731318e311cf6	/data/lht/relsim_dataset/relsim_images/bf0fe5a6e25faa6d664731318e311cf6.jpg	spatial	butterfly	resting on	lip	A butterfly is resting on a lip.	flying over	A butterfly is flying over a lip.	A butterfly is cutting a lip.	0										
relsim_5c832784df6ca1a3a2a6d6a174a06e62	/data/lht/relsim_dataset/relsim_images/5c832784df6ca1a3a2a6d6a174a06e62.jpg	spatial	zebra	standing near	elephant	A zebra is standing near an elephant.	looking at	A zebra is looking at an elephant.	A zebra is offering food to an elephant.	0										
relsim_1e7ea4dd8fe6046839cb231812ed18a9	/data/lht/relsim_dataset/relsim_images/1e7ea4dd8fe6046839cb231812ed18a9.jpg	spatial	butterfly	near	eye	A butterfly is near an eye.	over	A butterfly is over an eye.	A butterfly is pouring into an eye.	0										
relsim_93c00a3ab45a5cfc6304f4312042c73b	/data/lht/relsim_dataset/relsim_images/93c00a3ab45a5cfc6304f4312042c73b.jpg	spatial	red nutcracker	standing next to	wooden nutcracker	A red nutcracker is standing next to a wooden nutcracker.	touching	A red nutcracker is touching a wooden nutcracker.	A red nutcracker is wears a wooden nutcracker.	2										
relsim_2ed291370617ef9fa88e12902fe2b6fd	/data/lht/relsim_dataset/relsim_images/2ed291370617ef9fa88e12902fe2b6fd.jpg	spatial	dancer	jumping over	boxes	A dancer is jumping over a boxes.	looking at	A dancer is looking at a boxes.	A dancer is performing handstand a boxes.	0										
relsim_996aa25651c2f225687b4de659253843	/data/lht/relsim_dataset/relsim_images/996aa25651c2f225687b4de659253843.jpg	spatial	girl	standing on	scale	A girl is standing on a scale.	jumping on	A girl is jumping on a scale.	A girl is photographing a scale.	0										
relsim_4a5ee639616a6f0e5b5374d299e179b1	/data/lht/relsim_dataset/relsim_images/4a5ee639616a6f0e5b5374d299e179b1.jpg	spatial	person	sitting on	toilet	A person is sitting on a toilet.	standing beside	A person is standing beside a toilet.	A person is casting a shadow of a toilet.	0										
relsim_0e857bfe2b2012ae77f376d7fcf739e6	/data/lht/relsim_dataset/relsim_images/0e857bfe2b2012ae77f376d7fcf739e6.jpg	spatial	woman	looking at	man	A woman is looking at a man.	gesturing at	A woman is gesturing at a man.	A woman is reflects a man.	2										
relsim_abb0f36bc1ee72124a4e7197ff046646	/data/lht/relsim_dataset/relsim_images/abb0f36bc1ee72124a4e7197ff046646.jpg	spatial	hedgehog	sitting on	sunflower	A hedgehog is sitting on a sunflower.	climbing up	A hedgehog is climbing up a sunflower.	A hedgehog is marked with a sunflower.	1										
relsim_054c113edb40ae0d3e2ce870861c0e60	/data/lht/relsim_dataset/relsim_images/054c113edb40ae0d3e2ce870861c0e60.jpg	spatial	dog	sitting on	ground	A dog is sitting on a ground.	looking at	A dog is looking at a ground.	A dog is posing a ground.	0										
relsim_5fbdb5d764206af04b4099b1017a362f	/data/lht/relsim_dataset/relsim_images/5fbdb5d764206af04b4099b1017a362f.jpg	spatial	sun	over	bridge	A sun is over a bridge.	behind	A sun is behind a bridge.	A sun is thinking about a bridge.	0										
relsim_04ba345cfc7afa6b073a4ac69c644ea7	/data/lht/relsim_dataset/relsim_images/04ba345cfc7afa6b073a4ac69c644ea7.jpg	spatial	pug	standing on	rug	A pug is standing on a rug.	lying on	A pug is lying on a rug.	A pug is crossed by a rug.	0										
relsim_5709fbb701d98d2cec816f5ed1052f87	/data/lht/relsim_dataset/relsim_images/5709fbb701d98d2cec816f5ed1052f87.jpg	spatial	balloon	floating above	manhole cover	A balloon is floating above a manhole cover.	attached to	A balloon is attached to a manhole cover.	A balloon is balancing on a manhole cover.	0										
relsim_52e1f01a948387b92dd04a03a754cd97	/data/lht/relsim_dataset/relsim_images/52e1f01a948387b92dd04a03a754cd97.jpg	spatial	leaf	hanging from	branch	A leaf is hanging from a branch.	attached to	A leaf is attached to a branch.	A leaf is leaning against a branch.	0										
relsim_032d18e8c0ce307ece260ac6c209f33c	/data/lht/relsim_dataset/relsim_images/032d18e8c0ce307ece260ac6c209f33c.jpg	spatial	nail polish	on	hand	A nail polish is on a hand.	beside	A nail polish is beside a hand.	A nail polish is performing kick a hand.	2										
relsim_d7cd04b59a7a4424ba74dc2a341d0ee0	/data/lht/relsim_dataset/relsim_images/d7cd04b59a7a4424ba74dc2a341d0ee0.jpg	spatial	city	on	island	A city is on an island.	surrounding	A city is surrounding an island.	A city is piercing an island.	1										
relsim_4bd7c5d468db8bc487fb6b7dfc070743	/data/lht/relsim_dataset/relsim_images/4bd7c5d468db8bc487fb6b7dfc070743.jpg	spatial	shark	swimming near	divers	A shark is swimming near a divers.	following	A shark is following a divers.	A shark is falling towards a divers.	1										
relsim_53d0ac40ab8ba3cbce38bcbc33c14ae7	/data/lht/relsim_dataset/relsim_images/53d0ac40ab8ba3cbce38bcbc33c14ae7.jpg	spatial	woman	standing in front of	muscle drawing	A woman is standing in front of a muscle drawing.	posing beside	A woman is posing beside a muscle drawing.	A woman is leaning against a muscle drawing.	0										
relsim_430c8860aecd906c357058053a26e1c1	/data/lht/relsim_dataset/relsim_images/430c8860aecd906c357058053a26e1c1.jpg	spatial	frog	sitting on	sculpture	A frog is sitting on a sculpture.	looking at	A frog is looking at a sculpture.	A frog is crossed by a sculpture.	1										
relsim_d183860cfffe8c061a52afc313deb8c4	/data/lht/relsim_dataset/relsim_images/d183860cfffe8c061a52afc313deb8c4.jpg	spatial	dog	standing on	surfboard	A dog is standing on a surfboard.	jumping from	A dog is jumping from a surfboard.	A dog is coiling around a surfboard.	0										
relsim_ab260dd2e024f544c890fd47ab17ef77	/data/lht/relsim_dataset/relsim_images/ab260dd2e024f544c890fd47ab17ef77.jpg	spatial	flamingo	standing on	seat	A flamingo is standing on a seat.	leaning on	A flamingo is leaning on a seat.	A flamingo is performing handstand a seat.	0										
relsim_2650ac7472236b4028ea3aac3743e032	/data/lht/relsim_dataset/relsim_images/2650ac7472236b4028ea3aac3743e032.jpg	spatial	man	sitting beside	sheep	A man is sitting beside a sheep.	talking to	A man is talking to a sheep.	A man is offering a sheep.	1										
relsim_de376b250c3091570b6e7fe811710638	/data/lht/relsim_dataset/relsim_images/de376b250c3091570b6e7fe811710638.jpg	spatial	person	jumping over	mirror	A person is jumping over a mirror.	looking at	A person is looking at a mirror.	A person is taking photo of a mirror.	0										
relsim_7e2c60a51f68b788424301038200ff44	/data/lht/relsim_dataset/relsim_images/7e2c60a51f68b788424301038200ff44.jpg	spatial	robot	sitting on	ground	A robot is sitting on a ground.	standing on	A robot is standing on a ground.	A robot is made of a ground.	0										
relsim_ceeaaf4031076bb9143b5d403b36692a	/data/lht/relsim_dataset/relsim_images/ceeaaf4031076bb9143b5d403b36692a.jpg	spatial	person	lying on	floor	A person is lying on a floor.	jumping from	A person is jumping from a floor.	A person is covered with a floor.	0										
relsim_be5ce324477a3a705edc085ee195f6ff	/data/lht/relsim_dataset/relsim_images/be5ce324477a3a705edc085ee195f6ff.jpg	spatial	person	standing on	roof	A person is standing on a roof.	jumping from	A person is jumping from a roof.	A person is riding a roof.	1										
relsim_9402c080d452d550c892c235a117cbc9	/data/lht/relsim_dataset/relsim_images/9402c080d452d550c892c235a117cbc9.jpg	spatial	mannequin	standing in front of	barn	A mannequin is standing in front of a barn.	leaning against	A mannequin is leaning against a barn.	A mannequin is emerge from a barn.	0										
relsim_ca05688e518e5b96f3a5e0b41d749efb	/data/lht/relsim_dataset/relsim_images/ca05688e518e5b96f3a5e0b41d749efb.jpg	spatial	cat	inside	speaker	A cat is inside a speaker.	sitting on	A cat is sitting on a speaker.	A cat is jumping on a speaker.	1										
relsim_6a9fb06d7e34df4ef6e6817dabd13553	/data/lht/relsim_dataset/relsim_images/6a9fb06d7e34df4ef6e6817dabd13553.jpg	spatial	figure	standing on	bridge	A figure is standing on a bridge.	leaning on	A figure is leaning on a bridge.	A figure is falling towards a bridge.	0										
relsim_3b19e959719e8c36e0ae5531fd799c7f	/data/lht/relsim_dataset/relsim_images/3b19e959719e8c36e0ae5531fd799c7f.jpg	spatial	lamp	rests on	platform	A lamp is rests on a platform.	is positioned above	A lamp is is positioned above a platform.	A lamp is stands beside a platform.	2										
relsim_235f10f57df8d4f6fa5144d82cf791c7	/data/lht/relsim_dataset/relsim_images/235f10f57df8d4f6fa5144d82cf791c7.jpg	spatial	spoon	in	bowl	A spoon is in a bowl.	attached to	A spoon is attached to a bowl.	A spoon is formed by a bowl.	1										
relsim_1bceafc46fd605f2962e893683abc412	/data/lht/relsim_dataset/relsim_images/1bceafc46fd605f2962e893683abc412.jpg	spatial	body	lying on	wooden planks	A body is lying on a wooden planks.	built with	A body is built with a wooden planks.	A body is held by a wooden planks.	0										
relsim_17c138980649b53b94ad7b4bc6e086fa	/data/lht/relsim_dataset/relsim_images/17c138980649b53b94ad7b4bc6e086fa.jpg	spatial	doll	sitting on	couch	A doll is sitting on a couch.	leaning on	A doll is leaning on a couch.	A doll is casts on a couch.	0										
relsim_238fc6bc031b024cc129cf5f27aba025	/data/lht/relsim_dataset/relsim_images/238fc6bc031b024cc129cf5f27aba025.jpg	spatial	cat	sitting on	chair	A cat is sitting on a chair.	lying on	A cat is lying on a chair.	A cat is kneeling on a chair.	0										
relsim_c5d4b615bafdb8685b02b9d3e8874eba	/data/lht/relsim_dataset/relsim_images/c5d4b615bafdb8685b02b9d3e8874eba.jpg	spatial	man	standing on	rock	A man is standing on a rock.	jumping from	A man is jumping from a rock.	A man is sniffing a rock.	0										
relsim_6662de49e5f5a9fed69e7f9c82a52c6d	/data/lht/relsim_dataset/relsim_images/6662de49e5f5a9fed69e7f9c82a52c6d.jpg	spatial	parrot	perched on	fencer	A parrot is perched on a fencer.	looking at	A parrot is looking at a fencer.	A parrot is emitting light a fencer.	0										
relsim_55bda676a31724b47ff64f9d75bd86c0	/data/lht/relsim_dataset/relsim_images/55bda676a31724b47ff64f9d75bd86c0.jpg	spatial	cat	sitting beside	owl	A cat is sitting beside an owl.	standing next to	A cat is standing next to an owl.	A cat is extend into an owl.	0										
relsim_10c37cd6ae26e864881d63a315525e5a	/data/lht/relsim_dataset/relsim_images/10c37cd6ae26e864881d63a315525e5a.jpg	spatial	pyramid	reflects in	water	A pyramid is reflects in a water.	standing on	A pyramid is standing on a water.	A pyramid is perching on a water.	0										
relsim_83a664bb8c8d7b438cac1b0455c8510a	/data/lht/relsim_dataset/relsim_images/83a664bb8c8d7b438cac1b0455c8510a.jpg	spatial	penguin	standing on	blue paint	A penguin is standing on a blue paint.	looking at	A penguin is looking at a blue paint.	A penguin is reaching for a blue paint.	1										
relsim_8897b2539729f1c0a9cb6065cf10cc55	/data/lht/relsim_dataset/relsim_images/8897b2539729f1c0a9cb6065cf10cc55.jpg	spatial	person	standing in front of	poles	A person is standing in front of a poles.	looking at	A person is looking at a poles.	A person is fishing a poles.	0										
relsim_7265a56131e7dfed186e498f351d4a77	/data/lht/relsim_dataset/relsim_images/7265a56131e7dfed186e498f351d4a77.jpg	spatial	plant	growing in	road	A plant is growing in a road.	painted on	A plant is painted on a road.	A plant is marked on a road.	2										
relsim_bdecfe829db9d353e653e7ceb2c481f6	/data/lht/relsim_dataset/relsim_images/bdecfe829db9d353e653e7ceb2c481f6.jpg	spatial	kitten	sitting in	egg	A kitten is sitting in an egg.	leaning against	A kitten is leaning against an egg.	A kitten is jumping an egg.	1										
relsim_0d7f8cc22f77a11cec983a3a7ecac474	/data/lht/relsim_dataset/relsim_images/0d7f8cc22f77a11cec983a3a7ecac474.jpg	spatial	cat	inside	birdcage	A cat is inside a birdcage.	perched on	A cat is perched on a birdcage.	A cat is silhouetted against a birdcage.	1										
relsim_288a6322bafee3f0c3f2a55fe02cc550	/data/lht/relsim_dataset/relsim_images/288a6322bafee3f0c3f2a55fe02cc550.jpg	spatial	soldiers	standing near	maze	A soldiers is standing near a maze.	approaching	A soldiers is approaching a maze.	A soldiers is sleeping on a maze.	2										
relsim_72b5e4f40cfc217a3074992f84158d20	/data/lht/relsim_dataset/relsim_images/72b5e4f40cfc217a3074992f84158d20.jpg	spatial	mouse	beside	microphone	A mouse is beside a microphone.	under	A mouse is under a microphone.	A mouse is reflecting in a microphone.	1										
relsim_2652df284fcf6476fd93553fd31faa3c	/data/lht/relsim_dataset/relsim_images/2652df284fcf6476fd93553fd31faa3c.jpg	spatial	dog	sitting on	ground	A dog is sitting on a ground.	standing on	A dog is standing on a ground.	A dog is pulling a ground.	0										
relsim_be2b051af22300bc546718070fbc21bf	/data/lht/relsim_dataset/relsim_images/be2b051af22300bc546718070fbc21bf.jpg	spatial	people	lying on	pool floor	A people is lying on a pool floor.	sitting on	A people is sitting on a pool floor.	A people is crouching on a pool floor.	2										
relsim_ae1e6a45ad8c3dd3d9e3ac9f7d96580c	/data/lht/relsim_dataset/relsim_images/ae1e6a45ad8c3dd3d9e3ac9f7d96580c.jpg	spatial	salad	on	plate	A salad is on a plate.	covering	A salad is covering a plate.	A salad is hugging a plate.	2										
relsim_8cad1b73009c60090661c575c9f7bbc2	/data/lht/relsim_dataset/relsim_images/8cad1b73009c60090661c575c9f7bbc2.jpg	spatial	bus	parked on	sand	A bus is parked on a sand.	driving on	A bus is driving on a sand.	A bus is casting shadow of a sand.	0										
relsim_1e9573084d0855a0a649f28a6deafe82	/data/lht/relsim_dataset/relsim_images/1e9573084d0855a0a649f28a6deafe82.jpg	spatial	butterfly	hovering over	caterpillar	A butterfly is hovering over a caterpillar.	flying towards	A butterfly is flying towards a caterpillar.	A butterfly is using a caterpillar.	1										
relsim_d5070e518299bc53c1dfc16c15c2998d	/data/lht/relsim_dataset/relsim_images/d5070e518299bc53c1dfc16c15c2998d.jpg	spatial	lizard	sitting on	branch	A lizard is sitting on a branch.	hiding behind	A lizard is hiding behind a branch.	A lizard is swimming towards a branch.	2										
relsim_1f17b3c4fd501c59c67c1353302261e2	/data/lht/relsim_dataset/relsim_images/1f17b3c4fd501c59c67c1353302261e2.jpg	spatial	onion	hanging from	wall	An onion is hanging from a wall.	floating above	An onion is floating above a wall.	An onion is sitting on a wall.	0										
relsim_5ed1dc32f8516a0ace2128cae519eb85	/data/lht/relsim_dataset/relsim_images/5ed1dc32f8516a0ace2128cae519eb85.jpg	spatial	praying mantis	climbing on	leaf	A praying mantis is climbing on a leaf.	hiding behind	A praying mantis is hiding behind a leaf.	A praying mantis is riding a leaf.	1										
relsim_da9e847a789a7e6aaa931b653620813f	/data/lht/relsim_dataset/relsim_images/da9e847a789a7e6aaa931b653620813f.jpg	spatial	woman	sitting beside	man	A woman is sitting beside a man.	standing behind	A woman is standing behind a man.	A woman is jumping to hit a man.	0										
relsim_376f0e59848088cd8ba3d8586a95981c	/data/lht/relsim_dataset/relsim_images/376f0e59848088cd8ba3d8586a95981c.jpg	spatial	red cube	in front of	white cube	A red cube is in front of a white cube.	attached to	A red cube is attached to a white cube.	A red cube is gesturing a white cube.	0										
relsim_25ea0b80115e619cbc59a47ce80d5b2d	/data/lht/relsim_dataset/relsim_images/25ea0b80115e619cbc59a47ce80d5b2d.jpg	spatial	bicycle	casting shadow on	ground	A bicycle is casting shadow on a ground.	reflecting on	A bicycle is reflecting on a ground.	A bicycle is falling towards a ground.	1										
relsim_6d45628eaa42565a6cf0e4915b376563	/data/lht/relsim_dataset/relsim_images/6d45628eaa42565a6cf0e4915b376563.jpg	spatial	cat	standing in front of	house	A cat is standing in front of a house.	sniffing	A cat is sniffing a house.	A cat is playing with a house.	0										
relsim_4bb754d0d69738ad6387680c1c09e4d0	/data/lht/relsim_dataset/relsim_images/4bb754d0d69738ad6387680c1c09e4d0.jpg	contact	cat	decorated with	candy cane	A cat is decorated with a candy cane.	holding	A cat is holding a candy cane.	A cat is moving away from a candy cane.	0										
