id	image_path	subject	relation	object	positive_statement	negative_relation	negative_statement	relation_freq_in_master	subject_ok	object_ok	positive_true	negative_false	only_relation_differs	statement_natural
relsim_9c09ddbb471de2f2e65ce1778fcd6e48	/data/lht/relsim_dataset/relsim_images/9c09ddbb471de2f2e65ce1778fcd6e48.jpg	hands	holding	crochet rose	A hands is holding a crochet rose.	sitting in front of	A hands is sitting in front of a crochet rose.	150						
relsim_1e4547b9ef9f23fbe2353ce03bf60e90	/data/lht/relsim_dataset/relsim_images/1e4547b9ef9f23fbe2353ce03bf60e90.jpg	boy	looking at	house	A boy is looking at a house.	casting a shadow on	A boy is casting a shadow on a house.	113						
relsim_b03a56852a53d4f123fea8dc725bac63	/data/lht/relsim_dataset/relsim_images/b03a56852a53d4f123fea8dc725bac63.jpg	man on platform	looking at	brain	A man on platform is looking at a brain.	licking	A man on platform is licking a brain.	113						
relsim_bac4e4bd01e4a5b8fa622cf597c7ead0	/data/lht/relsim_dataset/relsim_images/bac4e4bd01e4a5b8fa622cf597c7ead0.jpg	polar bear	standing on	rock	A polar bear is standing on a rock.	sitting in front of	A polar bear is sitting in front of a rock.	150						
relsim_73b645db1587d06130fa47cbc589f035	/data/lht/relsim_dataset/relsim_images/73b645db1587d06130fa47cbc589f035.jpg	ice cube	contains	raspberry	An ice cube is contains a raspberry.	swinging	An ice cube is swinging a raspberry.	109						
relsim_100626314c6a2e3bafe39222dd98b0aa	/data/lht/relsim_dataset/relsim_images/100626314c6a2e3bafe39222dd98b0aa.jpg	santa	holding	gift	A santa is holding a gift.	stands in	A santa is stands in a gift.	150						
relsim_376da0a88c533cd4b39b06e52da1f612	/data/lht/relsim_dataset/relsim_images/376da0a88c533cd4b39b06e52da1f612.jpg	head	contains	stripes	A head is contains a stripes.	carved into	A head is carved into a stripes.	109						
relsim_7ec31ab11bb3e48585711179995db352	/data/lht/relsim_dataset/relsim_images/7ec31ab11bb3e48585711179995db352.jpg	man	wearing	suit	A man is wearing a suit.	swimming near	A man is swimming near a suit.	150						
relsim_abb0f36bc1ee72124a4e7197ff046646	/data/lht/relsim_dataset/relsim_images/abb0f36bc1ee72124a4e7197ff046646.jpg	hedgehog	sitting on	sunflower	A hedgehog is sitting on a sunflower.	marked with	A hedgehog is marked with a sunflower.	150						
relsim_a7a228f8ecfbbb629dda0d4556406950	/data/lht/relsim_dataset/relsim_images/a7a228f8ecfbbb629dda0d4556406950.jpg	magnifying glass	contains	road	A magnifying glass is contains a road.	rests on	A magnifying glass is rests on a road.	109						
relsim_847a7a0b542a4e541c88beabbceef21a	/data/lht/relsim_dataset/relsim_images/847a7a0b542a4e541c88beabbceef21a.jpg	puppies	sitting on	dresser	A puppies is sitting on a dresser.	held by	A puppies is held by a dresser.	150						
relsim_b06d67020227844edd16c5cc55813c12	/data/lht/relsim_dataset/relsim_images/b06d67020227844edd16c5cc55813c12.jpg	dog-shaped rice	sitting on	bowl	A dog-shaped rice is sitting on a bowl.	held by	A dog-shaped rice is held by a bowl.	150						
relsim_2e9d6e6b3d7559846e63ac3d866ad6ce	/data/lht/relsim_dataset/relsim_images/2e9d6e6b3d7559846e63ac3d866ad6ce.jpg	dog	looking at	reflection	A dog is looking at a reflection.	jumping into	A dog is jumping into a reflection.	113						
relsim_b3eea2f43814cb4e771e43087d6e64a6	/data/lht/relsim_dataset/relsim_images/b3eea2f43814cb4e771e43087d6e64a6.jpg	mouse	sitting on	branch	A mouse is sitting on a branch.	casting light on	A mouse is casting light on a branch.	150						
relsim_1b3cf799b3823838bc70cbf1832cebf2	/data/lht/relsim_dataset/relsim_images/1b3cf799b3823838bc70cbf1832cebf2.jpg	child	looking at	skull	A child is looking at a skull.	crosses over	A child is crosses over a skull.	113						
relsim_cf40e1b598c100870edbbf313442f2fd	/data/lht/relsim_dataset/relsim_images/cf40e1b598c100870edbbf313442f2fd.jpg	person	standing on	platform	A person is standing on a platform.	overshadows	A person is overshadows a platform.	150						
relsim_8936279b5133ffb33387b0f8c60ecd2c	/data/lht/relsim_dataset/relsim_images/8936279b5133ffb33387b0f8c60ecd2c.jpg	hand	holding	rose	A hand is holding a rose.	swimming among	A hand is swimming among a rose.	150						
relsim_84f17bad638052ce8dd194385b606d3e	/data/lht/relsim_dataset/relsim_images/84f17bad638052ce8dd194385b606d3e.jpg	heart shape	contains	Earth	A heart shape is contains an Earth.	held by	A heart shape is held by an Earth.	109						
relsim_42909929a3b9a2842f6568f48386432d	/data/lht/relsim_dataset/relsim_images/42909929a3b9a2842f6568f48386432d.jpg	woman	looking at	car drawing	A woman is looking at a car drawing.	running behind	A woman is running behind a car drawing.	113						
relsim_556185c501c1870ad4bf59e3b683874b	/data/lht/relsim_dataset/relsim_images/556185c501c1870ad4bf59e3b683874b.jpg	santa	carrying	figure	A santa is carrying a figure.	gesturing	A santa is gesturing a figure.	74						
relsim_b03caffc263275e16c23466d926d20a0	/data/lht/relsim_dataset/relsim_images/b03caffc263275e16c23466d926d20a0.jpg	alien face	contains	Earth	An alien face is contains an Earth.	surrounded by	An alien face is surrounded by an Earth.	109						
relsim_ba2a3ababb518a74d380fd613d8208ec	/data/lht/relsim_dataset/relsim_images/ba2a3ababb518a74d380fd613d8208ec.jpg	figure	sitting on	bench	A figure is sitting on a bench.	pressing	A figure is pressing a bench.	150						
relsim_12d61b3637ce4c4a19ee20f5a8bd61b3	/data/lht/relsim_dataset/relsim_images/12d61b3637ce4c4a19ee20f5a8bd61b3.jpg	person	carrying	chair	A person is carrying a chair.	grabbing	A person is grabbing a chair.	74						
relsim_8a4a1bfae35b84bb054d663bb211e6e2	/data/lht/relsim_dataset/relsim_images/8a4a1bfae35b84bb054d663bb211e6e2.jpg	man in red uniform	holding	swan costume	A man in red uniform is holding a swan costume.	lies on	A man in red uniform is lies on a swan costume.	150						
relsim_dcea8cab01a9ed17d43143051d533dd2	/data/lht/relsim_dataset/relsim_images/dcea8cab01a9ed17d43143051d533dd2.jpg	hot dog	holding	bun	A hot dog is holding a bun.	radiating from	A hot dog is radiating from a bun.	150						
relsim_0d64ca16df039bd19e01f85746281126	/data/lht/relsim_dataset/relsim_images/0d64ca16df039bd19e01f85746281126.jpg	large phone	contains	small phone	A large phone is contains a small phone.	climbing	A large phone is climbing a small phone.	109						
relsim_1249da11afceb1c11588a73baae64ee1	/data/lht/relsim_dataset/relsim_images/1249da11afceb1c11588a73baae64ee1.jpg	dog	wearing	hat	A dog is wearing a hat.	raising	A dog is raising a hat.	150						
relsim_9ff3c903a783fb9ad8f137ac08968927	/data/lht/relsim_dataset/relsim_images/9ff3c903a783fb9ad8f137ac08968927.jpg	man	holding	tie	A man is holding a tie.	gesturing	A man is gesturing a tie.	150						
relsim_12f713f5c7f97d31442633d236331926	/data/lht/relsim_dataset/relsim_images/12f713f5c7f97d31442633d236331926.jpg	hippopotamus	wearing	jacket	A hippopotamus is wearing a jacket.	perched on	A hippopotamus is perched on a jacket.	150						
relsim_60a4e0c06abe40c51134d81649e94e38	/data/lht/relsim_dataset/relsim_images/60a4e0c06abe40c51134d81649e94e38.jpg	birds	sitting on	toilet seat	A birds is sitting on a toilet seat.	radiates from	A birds is radiates from a toilet seat.	150						
relsim_8acd2ab43b96e8094a9f567bad3c2dea	/data/lht/relsim_dataset/relsim_images/8acd2ab43b96e8094a9f567bad3c2dea.jpg	cabinet	contains	drawers	A cabinet is contains a drawers.	juggling	A cabinet is juggling a drawers.	109						
relsim_418b0dbd3ddd0052f0ae53b6d40d2731	/data/lht/relsim_dataset/relsim_images/418b0dbd3ddd0052f0ae53b6d40d2731.jpg	child	holding	snake	A child is holding a snake.	jumps to	A child is jumps to a snake.	150						
relsim_b04e68b7378743dbaf64d1f7d63708da	/data/lht/relsim_dataset/relsim_images/b04e68b7378743dbaf64d1f7d63708da.jpg	people	standing on	rocks	A people is standing on a rocks.	forms an arch over	A people is forms an arch over a rocks.	150						
relsim_a789db54414b1daca78b9977d8c4eb54	/data/lht/relsim_dataset/relsim_images/a789db54414b1daca78b9977d8c4eb54.jpg	pot	contains	plants	A pot is contains a plants.	peering through	A pot is peering through a plants.	109						
relsim_3d55b071736cd3bdb9f0349d0bfdc914	/data/lht/relsim_dataset/relsim_images/3d55b071736cd3bdb9f0349d0bfdc914.jpg	dogs	sitting on	stairs	A dogs is sitting on a stairs.	pouring into	A dogs is pouring into a stairs.	150						
relsim_35132e04c45508bfae521d9dc4d763be	/data/lht/relsim_dataset/relsim_images/35132e04c45508bfae521d9dc4d763be.jpg	kitten	standing on	floor	A kitten is standing on a floor.	smiling at	A kitten is smiling at a floor.	150						
relsim_4e09bd1d308042e4581cf7babf4cc39f	/data/lht/relsim_dataset/relsim_images/4e09bd1d308042e4581cf7babf4cc39f.jpg	orange juice carton	contains	orange	An orange juice carton is contains an orange.	standing next to	An orange juice carton is standing next to an orange.	109						
relsim_2697ccdf3e94945aa104d9a923af2fde	/data/lht/relsim_dataset/relsim_images/2697ccdf3e94945aa104d9a923af2fde.jpg	woman	sitting on	chair	A woman is sitting on a chair.	standing inside	A woman is standing inside a chair.	150						
relsim_a09f2396fb313215c247f79a26d1e060	/data/lht/relsim_dataset/relsim_images/a09f2396fb313215c247f79a26d1e060.jpg	man	standing on	chart	A man is standing on a chart.	emitting light	A man is emitting light a chart.	150						
relsim_9b54a8ab43d826f99b6b4fc142ba6ce6	/data/lht/relsim_dataset/relsim_images/9b54a8ab43d826f99b6b4fc142ba6ce6.jpg	person	carrying	reflection	A person is carrying a reflection.	next to	A person is next to a reflection.	74						
relsim_0559b6de8591c2f761219a410ee2101f	/data/lht/relsim_dataset/relsim_images/0559b6de8591c2f761219a410ee2101f.jpg	bride	wearing	pink boots	A bride is wearing a pink boots.	jumping under	A bride is jumping under a pink boots.	150						
relsim_43141b655268caf3e066416e58106840	/data/lht/relsim_dataset/relsim_images/43141b655268caf3e066416e58106840.jpg	cat	sitting on	pavement	A cat is sitting on a pavement.	reaching towards	A cat is reaching towards a pavement.	150						
relsim_9b9ac6a3d9a2c642d1f06009b7d5dbc3	/data/lht/relsim_dataset/relsim_images/9b9ac6a3d9a2c642d1f06009b7d5dbc3.jpg	cat	wearing	hat	A cat is wearing a hat.	jumping to hit	A cat is jumping to hit a hat.	150						
relsim_da6d51a0b0c297554b936afae503f990	/data/lht/relsim_dataset/relsim_images/da6d51a0b0c297554b936afae503f990.jpg	person	holding	violin	A person is holding a violin.	made of	A person is made of a violin.	150						
relsim_913725d391d8bded421b89497d351a76	/data/lht/relsim_dataset/relsim_images/913725d391d8bded421b89497d351a76.jpg	dog	looking at	fan	A dog is looking at a fan.	decorated with	A dog is decorated with a fan.	113						
relsim_7c823791b9c3f1d4b659eb2d8ff5448f	/data/lht/relsim_dataset/relsim_images/7c823791b9c3f1d4b659eb2d8ff5448f.jpg	light bulb	contains	flower	A light bulb is contains a flower.	flying	A light bulb is flying a flower.	109						
relsim_4dbcdecc34110358a2fd2452f1bec5dd	/data/lht/relsim_dataset/relsim_images/4dbcdecc34110358a2fd2452f1bec5dd.jpg	couple	holding	balloons	A couple is holding a balloons.	casts on	A couple is casts on a balloons.	150						
relsim_d8f53d08982809cb1e5d3fa48ca4df01	/data/lht/relsim_dataset/relsim_images/d8f53d08982809cb1e5d3fa48ca4df01.jpg	dancer	holding	stick	A dancer is holding a stick.	running through	A dancer is running through a stick.	150						
relsim_d5ae9d31d485d41c2499059d328af7a7	/data/lht/relsim_dataset/relsim_images/d5ae9d31d485d41c2499059d328af7a7.jpg	fox	standing on	grass	A fox is standing on a grass.	reaching towards	A fox is reaching towards a grass.	150						
relsim_6dc1799bfeef5a220ff2630b5d9b4fc3	/data/lht/relsim_dataset/relsim_images/6dc1799bfeef5a220ff2630b5d9b4fc3.jpg	man	standing on	rope	A man is standing on a rope.	peeking through	A man is peeking through a rope.	150						
relsim_5dca4e51f0f9b7a41b61ac3a329c3156	/data/lht/relsim_dataset/relsim_images/5dca4e51f0f9b7a41b61ac3a329c3156.jpg	man	looking at	mirror	A man is looking at a mirror.	swimming under	A man is swimming under a mirror.	113						
relsim_924b3b04bfd29a9c5f0f6ad26a0a5241	/data/lht/relsim_dataset/relsim_images/924b3b04bfd29a9c5f0f6ad26a0a5241.jpg	students	holding	flag	A students is holding a flag.	handing	A students is handing a flag.	150						
relsim_89103adab62da5b9633cdbef91b4ea5c	/data/lht/relsim_dataset/relsim_images/89103adab62da5b9633cdbef91b4ea5c.jpg	hedgehog	wearing	hat	A hedgehog is wearing a hat.	entering	A hedgehog is entering a hat.	150						
relsim_9a883ccc9f18441843d715957fea4b9e	/data/lht/relsim_dataset/relsim_images/9a883ccc9f18441843d715957fea4b9e.jpg	fish	lying on	ground	A fish is lying on a ground.	parked beside	A fish is parked beside a ground.	92						
relsim_59d2cd4922d128ad7ad55075e89e9cec	/data/lht/relsim_dataset/relsim_images/59d2cd4922d128ad7ad55075e89e9cec.jpg	bird	standing next to	pencil	A bird is standing next to a pencil.	crashing onto	A bird is crashing onto a pencil.	34						
relsim_c3bf01c30a9b32450de12ae45410a9ae	/data/lht/relsim_dataset/relsim_images/c3bf01c30a9b32450de12ae45410a9ae.jpg	hearts	form	cat	A hearts is form a cat.	drinking from	A hearts is drinking from a cat.	19						
relsim_609fb4b92ebb4e9a942d61b6ef6917e2	/data/lht/relsim_dataset/relsim_images/609fb4b92ebb4e9a942d61b6ef6917e2.jpg	person	jumping over	net	A person is jumping over a net.	drawing	A person is drawing a net.	43						
relsim_a5b7c45ff6d99b0101172a66637a3b2a	/data/lht/relsim_dataset/relsim_images/a5b7c45ff6d99b0101172a66637a3b2a.jpg	climber	climbing	candy structure	A climber is climbing a candy structure.	supports	A climber is supports a candy structure.	30						
relsim_aafda567f235d1b25d412dd0176b07e7	/data/lht/relsim_dataset/relsim_images/aafda567f235d1b25d412dd0176b07e7.jpg	person	climbing	ladder	A person is climbing a ladder.	swimming near	A person is swimming near a ladder.	30						
relsim_2ee288f0f7f4887f398cdeaeb7dba714	/data/lht/relsim_dataset/relsim_images/2ee288f0f7f4887f398cdeaeb7dba714.jpg	red chili pepper	attached to	green leaf	A red chili pepper is attached to a green leaf.	balancing	A red chili pepper is balancing a green leaf.	69						
relsim_af5360061f0e6e1bc804f5ffaae7d6ad	/data/lht/relsim_dataset/relsim_images/af5360061f0e6e1bc804f5ffaae7d6ad.jpg	hand	pointing at	letters	A hand is pointing at a letters.	walking towards	A hand is walking towards a letters.	34						
relsim_daad235fed51c1901270f7c88846c43c	/data/lht/relsim_dataset/relsim_images/daad235fed51c1901270f7c88846c43c.jpg	brain	supports	roots	A brain is supports a roots.	licking	A brain is licking a roots.	72						
relsim_0c02a22eef2b7bf2e33fdf9621314e9b	/data/lht/relsim_dataset/relsim_images/0c02a22eef2b7bf2e33fdf9621314e9b.jpg	painting	hanging from	wall	A painting is hanging from a wall.	balancing	A painting is balancing a wall.	62						
relsim_328e623c6d009b6121ee7e1d104ca345	/data/lht/relsim_dataset/relsim_images/328e623c6d009b6121ee7e1d104ca345.jpg	chopsticks	resting on	paper container	A chopsticks is resting on a paper container.	setting behind	A chopsticks is setting behind a paper container.	52						
relsim_0c7ee340c05086d061fd177274fb4172	/data/lht/relsim_dataset/relsim_images/0c7ee340c05086d061fd177274fb4172.jpg	biker	jumping over	ground	A biker is jumping over a ground.	playing	A biker is playing a ground.	43						
relsim_de376b250c3091570b6e7fe811710638	/data/lht/relsim_dataset/relsim_images/de376b250c3091570b6e7fe811710638.jpg	person	jumping over	mirror	A person is jumping over a mirror.	taking photo of	A person is taking photo of a mirror.	43						
relsim_b94a39ed37f1df83177a3912363ab382	/data/lht/relsim_dataset/relsim_images/b94a39ed37f1df83177a3912363ab382.jpg	man in air	jumping over	bar chart	A man in air is jumping over a bar chart.	dropping	A man in air is dropping a bar chart.	43						
relsim_bf0fe5a6e25faa6d664731318e311cf6	/data/lht/relsim_dataset/relsim_images/bf0fe5a6e25faa6d664731318e311cf6.jpg	butterfly	resting on	lip	A butterfly is resting on a lip.	cutting	A butterfly is cutting a lip.	52						
relsim_91ba756f8cd7da62756d75129866a74c	/data/lht/relsim_dataset/relsim_images/91ba756f8cd7da62756d75129866a74c.jpg	mouse	biting	cheese	A mouse is biting a cheese.	extended from	A mouse is extended from a cheese.	24						
relsim_2781a68da94b885b7253322c0175a706	/data/lht/relsim_dataset/relsim_images/2781a68da94b885b7253322c0175a706.jpg	cat	touching	action figure	A cat is touching an action figure.	part of	A cat is part of an action figure.	69						
relsim_ae473b848e8093c5be6ae9e48eae05d4	/data/lht/relsim_dataset/relsim_images/ae473b848e8093c5be6ae9e48eae05d4.jpg	cyclist	riding	bike	A cyclist is riding a bike.	wrapping around	A cyclist is wrapping around a bike.	53						
relsim_1c2dd276ebfeaa5348692313ee9ac431	/data/lht/relsim_dataset/relsim_images/1c2dd276ebfeaa5348692313ee9ac431.jpg	birdhouse	hanging from	tree branch	A birdhouse is hanging from a tree branch.	jumps to	A birdhouse is jumps to a tree branch.	62						
relsim_2cbd6c22eb30830b8026f241bc0b2300	/data/lht/relsim_dataset/relsim_images/2cbd6c22eb30830b8026f241bc0b2300.jpg	spoon	attached to	fork	A spoon is attached to a fork.	placed on	A spoon is placed on a fork.	69						
relsim_6bf1bfa8f29794a1a7663f7ed1ad205f	/data/lht/relsim_dataset/relsim_images/6bf1bfa8f29794a1a7663f7ed1ad205f.jpg	dog	biting	shoe	A dog is biting a shoe.	cast by	A dog is cast by a shoe.	24						
relsim_0713cf6676a9babf425336409a0415c3	/data/lht/relsim_dataset/relsim_images/0713cf6676a9babf425336409a0415c3.jpg	girl	jumping over	dog	A girl is jumping over a dog.	walking beside	A girl is walking beside a dog.	43						
relsim_663a27a0b8bca8ddc798ea2b5ae5978c	/data/lht/relsim_dataset/relsim_images/663a27a0b8bca8ddc798ea2b5ae5978c.jpg	woman	inside	jar	A woman is inside a jar.	launching	A woman is launching a jar.	26						
relsim_70575b342ade677b58df8dc521864e6a	/data/lht/relsim_dataset/relsim_images/70575b342ade677b58df8dc521864e6a.jpg	wolf	standing beside	wolf pups	A wolf is standing beside a wolf pups.	lying in	A wolf is lying in a wolf pups.	24						
relsim_01f464c6d1c6f90908b5138e2c06c7fe	/data/lht/relsim_dataset/relsim_images/01f464c6d1c6f90908b5138e2c06c7fe.jpg	guitar	resting on	spaceship model	A guitar is resting on a spaceship model.	hugging	A guitar is hugging a spaceship model.	52						
relsim_1cd191034e235cbd7ae6490452cc7c8e	/data/lht/relsim_dataset/relsim_images/1cd191034e235cbd7ae6490452cc7c8e.jpg	heart	supports	person	A heart is supports a person.	jumping above	A heart is jumping above a person.	72						
relsim_ae38a3c3366af5f378fad8ced971c6e0	/data/lht/relsim_dataset/relsim_images/ae38a3c3366af5f378fad8ced971c6e0.jpg	sunglasses	covering	eyes	A sunglasses is covering an eyes.	standing under	A sunglasses is standing under an eyes.	31						
relsim_25b2e244230b9335c155a0993e93c0bf	/data/lht/relsim_dataset/relsim_images/25b2e244230b9335c155a0993e93c0bf.jpg	tents	surrounded by	light trails	A tents is surrounded by a light trails.	standing inside	A tents is standing inside a light trails.	45						
relsim_afd1e1f20040b3c8fd85d5feda040cfd	/data/lht/relsim_dataset/relsim_images/afd1e1f20040b3c8fd85d5feda040cfd.jpg	cup	on	saucer	A cup is on a saucer.	licking	A cup is licking a saucer.	46						
relsim_5a2a2f3756bb72526089d183bbf09b36	/data/lht/relsim_dataset/relsim_images/5a2a2f3756bb72526089d183bbf09b36.jpg	giraffe	standing beside	turtle	A giraffe is standing beside a turtle.	surrounding	A giraffe is surrounding a turtle.	24						
relsim_2d13e0dae9066b41e00dc38ede55d9a3	/data/lht/relsim_dataset/relsim_images/2d13e0dae9066b41e00dc38ede55d9a3.jpg	shadow	stands on	ground	A shadow is stands on a ground.	sitting beside	A shadow is sitting beside a ground.	38						
relsim_114bd8ec4b2ebf2627fa882f1e5200c1	/data/lht/relsim_dataset/relsim_images/114bd8ec4b2ebf2627fa882f1e5200c1.jpg	turtle	climbing	seaweed	A turtle is climbing a seaweed.	tied to	A turtle is tied to a seaweed.	30						
relsim_4d2d8aa215ce18c9a7163a3fdb9f9d90	/data/lht/relsim_dataset/relsim_images/4d2d8aa215ce18c9a7163a3fdb9f9d90.jpg	umbrella	over	beach chair	An umbrella is over a beach chair.	pushes	An umbrella is pushes a beach chair.	20						
relsim_6d1e57d3ccb17338335a167d4b1213f9	/data/lht/relsim_dataset/relsim_images/6d1e57d3ccb17338335a167d4b1213f9.jpg	woman	touching	balloon	A woman is touching a balloon.	leaving behind	A woman is leaving behind a balloon.	69						
relsim_d4352c14eba632e0bb84d55663948d39	/data/lht/relsim_dataset/relsim_images/d4352c14eba632e0bb84d55663948d39.jpg	sun	over	people	A sun is over a people.	held by	A sun is held by a people.	20						
relsim_433b02f4e5c85bda3af91578876f62d5	/data/lht/relsim_dataset/relsim_images/433b02f4e5c85bda3af91578876f62d5.jpg	sprouts	surrounding	seeds	A sprouts is surrounding a seeds.	painting	A sprouts is painting a seeds.	25						
relsim_bc69b883d91019276dcc0afe95e21070	/data/lht/relsim_dataset/relsim_images/bc69b883d91019276dcc0afe95e21070.jpg	eyelashes	attached to	eyelid	An eyelashes is attached to an eyelid.	steps on	An eyelashes is steps on an eyelid.	69						
relsim_47c9ed4a0240e1c3d1b01899eec66b32	/data/lht/relsim_dataset/relsim_images/47c9ed4a0240e1c3d1b01899eec66b32.jpg	cards	forming	heart shape	A cards is forming a heart shape.	hanging above	A cards is hanging above a heart shape.	29						
relsim_55c4576791b1e6bcee1f17a5bfeb1fff	/data/lht/relsim_dataset/relsim_images/55c4576791b1e6bcee1f17a5bfeb1fff.jpg	pole	attached to	tree branches	A pole is attached to a tree branches.	leaning against	A pole is leaning against a tree branches.	69						
relsim_c89c8900fbc8c1ece6a250f5154c630b	/data/lht/relsim_dataset/relsim_images/c89c8900fbc8c1ece6a250f5154c630b.jpg	hook	hanging from	line	A hook is hanging from a line.	sitting at	A hook is sitting at a line.	62						
relsim_8d294ab50c92efe5a64914011d54b897	/data/lht/relsim_dataset/relsim_images/8d294ab50c92efe5a64914011d54b897.jpg	fox	riding	bicycle	A fox is riding a bicycle.	behind	A fox is behind a bicycle.	53						
relsim_391471f2f8639b049e0f88770fcc1880	/data/lht/relsim_dataset/relsim_images/391471f2f8639b049e0f88770fcc1880.jpg	globe	supports	lamp	A globe is supports a lamp.	flows through	A globe is flows through a lamp.	72						
relsim_cb5c33732b9a29a2d53cda679d8b4698	/data/lht/relsim_dataset/relsim_images/cb5c33732b9a29a2d53cda679d8b4698.jpg	man	touching	motorcycle	A man is touching a motorcycle.	watering	A man is watering a motorcycle.	69						
relsim_30b9ed02b523bf4c1178ad148d510e78	/data/lht/relsim_dataset/relsim_images/30b9ed02b523bf4c1178ad148d510e78.jpg	book	supports	hearts	A book is supports a hearts.	drawn in	A book is drawn in a hearts.	72						
relsim_d5c8d9f8dce455df4cb396c7335e324d	/data/lht/relsim_dataset/relsim_images/d5c8d9f8dce455df4cb396c7335e324d.jpg	man	leaning on	tree	A man is leaning on a tree.	running in	A man is running in a tree.	20						
relsim_1e0783b1451ca6e9401dfe11c353d7fe	/data/lht/relsim_dataset/relsim_images/1e0783b1451ca6e9401dfe11c353d7fe.jpg	skull	attached to	spine	A skull is attached to a spine.	raising	A skull is raising a spine.	69						
relsim_b9f59ec0ecb6521dab876b30f33243df	/data/lht/relsim_dataset/relsim_images/b9f59ec0ecb6521dab876b30f33243df.jpg	woman	standing beside	statue	A woman is standing beside a statue.	taller than	A woman is taller than a statue.	24						
relsim_b09be6f6ff219cf0971d367fb1292dfc	/data/lht/relsim_dataset/relsim_images/b09be6f6ff219cf0971d367fb1292dfc.jpg	puppy	sitting in	cup	A puppy is sitting in a cup.	emitting from	A puppy is emitting from a cup.	24						
relsim_75ce37b1a3f0cf8e0391394f1d393017	/data/lht/relsim_dataset/relsim_images/75ce37b1a3f0cf8e0391394f1d393017.jpg	robot	climbing	stairs	A robot is climbing a stairs.	silhouetted against	A robot is silhouetted against a stairs.	30						
relsim_47904ca6c6bd0d48deb6956ea2528d2f	/data/lht/relsim_dataset/relsim_images/47904ca6c6bd0d48deb6956ea2528d2f.jpg	hat	on	head	A hat is on a head.	illuminates	A hat is illuminates a head.	46						
relsim_2349b27f3b0498ff2a77bd3ae000db6d	/data/lht/relsim_dataset/relsim_images/2349b27f3b0498ff2a77bd3ae000db6d.jpg	balloons	covering	head	A balloons is covering a head.	burning	A balloons is burning a head.	31						
relsim_8444898f6be40bd56587877f64eb2eb1	/data/lht/relsim_dataset/relsim_images/8444898f6be40bd56587877f64eb2eb1.jpg	tomato	attached to	vine	A tomato is attached to a vine.	performing wheelie	A tomato is performing wheelie a vine.	69						
